mode: set
github.com/nutsdb/nutsdb/batch.go:27.52,36.2 4 0
github.com/nutsdb/nutsdb/batch.go:41.50,43.2 1 0
github.com/nutsdb/nutsdb/batch.go:45.38,51.45 5 0
github.com/nutsdb/nutsdb/batch.go:51.45,53.3 1 0
github.com/nutsdb/nutsdb/batch.go:55.2,55.12 1 0
github.com/nutsdb/nutsdb/batch.go:58.79,64.16 5 0
github.com/nutsdb/nutsdb/batch.go:64.16,67.3 2 0
github.com/nutsdb/nutsdb/batch.go:69.2,69.30 1 0
github.com/nutsdb/nutsdb/batch.go:69.30,72.3 2 0
github.com/nutsdb/nutsdb/batch.go:74.2,75.38 2 0
github.com/nutsdb/nutsdb/batch.go:75.38,77.3 1 0
github.com/nutsdb/nutsdb/batch.go:79.2,79.12 1 0
github.com/nutsdb/nutsdb/batch.go:83.63,89.16 5 0
github.com/nutsdb/nutsdb/batch.go:89.16,92.3 2 0
github.com/nutsdb/nutsdb/batch.go:94.2,94.30 1 0
github.com/nutsdb/nutsdb/batch.go:94.30,97.3 2 0
github.com/nutsdb/nutsdb/batch.go:99.2,100.38 2 0
github.com/nutsdb/nutsdb/batch.go:100.38,102.3 1 0
github.com/nutsdb/nutsdb/batch.go:104.2,104.12 1 0
github.com/nutsdb/nutsdb/batch.go:107.38,108.35 1 0
github.com/nutsdb/nutsdb/batch.go:108.35,110.3 1 0
github.com/nutsdb/nutsdb/batch.go:112.2,112.17 1 0
github.com/nutsdb/nutsdb/batch.go:112.17,114.3 1 0
github.com/nutsdb/nutsdb/batch.go:116.2,116.41 1 0
github.com/nutsdb/nutsdb/batch.go:116.41,119.3 2 0
github.com/nutsdb/nutsdb/batch.go:121.2,126.16 4 0
github.com/nutsdb/nutsdb/batch.go:126.16,128.3 1 0
github.com/nutsdb/nutsdb/batch.go:130.2,130.19 1 0
github.com/nutsdb/nutsdb/batch.go:133.43,136.16 2 0
github.com/nutsdb/nutsdb/batch.go:136.16,138.3 1 0
github.com/nutsdb/nutsdb/batch.go:139.2,139.35 1 0
github.com/nutsdb/nutsdb/batch.go:139.35,141.3 1 0
github.com/nutsdb/nutsdb/batch.go:143.2,143.19 1 0
github.com/nutsdb/nutsdb/batch.go:146.37,149.16 3 0
github.com/nutsdb/nutsdb/batch.go:149.16,152.3 2 0
github.com/nutsdb/nutsdb/batch.go:153.2,156.45 4 0
github.com/nutsdb/nutsdb/batch.go:156.45,157.24 1 0
github.com/nutsdb/nutsdb/batch.go:157.24,159.4 1 0
github.com/nutsdb/nutsdb/batch.go:160.3,160.13 1 0
github.com/nutsdb/nutsdb/batch.go:163.2,163.19 1 0
github.com/nutsdb/nutsdb/batch.go:166.37,172.16 6 0
github.com/nutsdb/nutsdb/batch.go:172.16,174.3 1 0
github.com/nutsdb/nutsdb/batch.go:175.2,176.12 2 0
github.com/nutsdb/nutsdb/batch.go:180.37,184.2 2 0
github.com/nutsdb/nutsdb/bucket.go:28.13,30.2 1 1
github.com/nutsdb/nutsdb/bucket.go:56.46,64.2 7 0
github.com/nutsdb/nutsdb/bucket.go:67.34,81.2 12 0
github.com/nutsdb/nutsdb/bucket.go:84.45,93.2 7 0
github.com/nutsdb/nutsdb/bucket.go:95.37,97.2 1 0
github.com/nutsdb/nutsdb/bucket.go:99.66,103.2 3 0
github.com/nutsdb/nutsdb/bucket.go:105.39,107.2 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:29.59,37.16 5 0
github.com/nutsdb/nutsdb/bucket_manager.go:37.16,39.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:40.2,41.16 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:41.16,43.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:44.2,46.16 3 0
github.com/nutsdb/nutsdb/bucket_manager.go:55.87,57.27 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:57.27,61.54 3 0
github.com/nutsdb/nutsdb/bucket_manager.go:61.54,63.4 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:65.3,66.29 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:67.30,69.62 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:70.30,71.45 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:71.45,73.5 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:73.10,75.5 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:76.4,76.46 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:79.2,80.12 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:87.38,90.2 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:92.53,93.25 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:93.25,95.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:98.67,100.33 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:100.33,102.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:103.2,103.14 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:106.83,108.24 2 0
github.com/nutsdb/nutsdb/bucket_manager.go:108.24,110.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:112.2,112.41 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:112.41,113.48 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:113.48,115.4 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:115.9,117.4 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:118.8,120.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:123.70,124.53 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:124.53,126.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:126.8,128.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:131.80,132.55 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:132.55,134.3 1 0
github.com/nutsdb/nutsdb/bucket_manager.go:134.8,136.3 1 0
github.com/nutsdb/nutsdb/datafile.go:48.69,54.2 2 0
github.com/nutsdb/nutsdb/datafile.go:58.81,61.43 2 0
github.com/nutsdb/nutsdb/datafile.go:61.43,63.3 1 0
github.com/nutsdb/nutsdb/datafile.go:64.2,66.64 2 0
github.com/nutsdb/nutsdb/datafile.go:66.64,68.3 1 0
github.com/nutsdb/nutsdb/datafile.go:70.2,72.16 3 0
github.com/nutsdb/nutsdb/datafile.go:72.16,74.3 1 0
github.com/nutsdb/nutsdb/datafile.go:77.2,79.16 2 0
github.com/nutsdb/nutsdb/datafile.go:79.16,81.3 1 0
github.com/nutsdb/nutsdb/datafile.go:83.2,83.56 1 0
github.com/nutsdb/nutsdb/datafile.go:83.56,85.3 1 0
github.com/nutsdb/nutsdb/datafile.go:87.2,88.16 2 0
github.com/nutsdb/nutsdb/datafile.go:88.16,90.3 1 0
github.com/nutsdb/nutsdb/datafile.go:92.2,93.23 2 0
github.com/nutsdb/nutsdb/datafile.go:93.23,95.3 1 0
github.com/nutsdb/nutsdb/datafile.go:97.2,97.8 1 0
github.com/nutsdb/nutsdb/datafile.go:102.69,104.2 1 0
github.com/nutsdb/nutsdb/datafile.go:109.40,111.2 1 0
github.com/nutsdb/nutsdb/datafile.go:118.41,120.2 1 0
github.com/nutsdb/nutsdb/datafile.go:122.43,124.2 1 0
github.com/nutsdb/nutsdb/db.go:80.59,84.2 1 0
github.com/nutsdb/nutsdb/db.go:88.55,89.20 1 0
github.com/nutsdb/nutsdb/db.go:89.20,92.17 3 0
github.com/nutsdb/nutsdb/db.go:92.17,94.4 1 0
github.com/nutsdb/nutsdb/db.go:96.2,96.16 1 0
github.com/nutsdb/nutsdb/db.go:100.37,119.51 3 0
github.com/nutsdb/nutsdb/db.go:119.51,120.62 1 0
github.com/nutsdb/nutsdb/db.go:120.62,122.4 1 0
github.com/nutsdb/nutsdb/db.go:125.2,126.47 2 0
github.com/nutsdb/nutsdb/db.go:126.47,128.3 1 0
github.com/nutsdb/nutsdb/db.go:128.8,128.16 1 0
github.com/nutsdb/nutsdb/db.go:128.16,130.3 1 0
github.com/nutsdb/nutsdb/db.go:132.2,134.54 2 0
github.com/nutsdb/nutsdb/db.go:134.54,136.3 1 0
github.com/nutsdb/nutsdb/db.go:136.8,138.3 1 0
github.com/nutsdb/nutsdb/db.go:140.2,140.50 1 0
github.com/nutsdb/nutsdb/db.go:140.50,142.3 1 0
github.com/nutsdb/nutsdb/db.go:144.2,144.50 1 0
